Make,Model,AverageCityMPG,AverageHighwayMPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
AUDI,SQ5,19,24,21,4,No,422
AUDI,SQ5,19,24,21,4,No,422
AUDI,SQ5,19,24,21,4,No,422
AUDI,SQ7,14,20,17,3,No,532
AUDI,SQ7,14,20,17,3,No,532
AUDI,SQ8,14,20,17,3,No,532
AUDI,SQ8,14,20,17,3,No,532
AUDI,TT,23,30,25,5,No,347
AUDI,TT,23,30,25,5,No,347
AUDI,TT,23,30,25,5,No,347
AUDI,TT,23,30,25,5,No,347
AUDI,TTS,23,31,26,5,No,337
AUDI,TTS,23,31,26,5,No,337
AUDI,e-tron,81,83,82,10,Elite,0
AUDI,e-tron,81,83,82,10,Elite,0
AUDI,e-tron,72,75,73,10,Elite,0
AUDI,e-tron,72,75,73,10,Elite,0
AUDI,e-tron,62,64,63,10,Elite,0
AUDI,e-tron,62,64,63,10,Elite,0
AUDI,e-tron,73,78,75,10,Elite,0
AUDI,e-tron,73,78,75,10,Elite,0
AUDI,e-tron,64,66,65,10,Elite,0
AUDI,e-tron,64,66,65,10,Elite,0
AUDI,e-tron,77,80,78,10,Elite,0
AUDI,e-tron,77,80,78,10,Elite,0
AUDI,e-tron,78,79,79,10,Elite,0
AUDI,e-tron,78,79,79,10,Elite,0
BENTLEY,Bentayga,14,21,17,3,No,527
BENTLEY,Bentayga,14,21,17,3,No,527
BENTLEY,Bentayga,14,21,17,3,No,527
BENTLEY,Bentayga,14,21,17,3,No,527
BENTLEY,Bentayga,18,24,20,7,No,222
BENTLEY,Bentayga,18,24,20,7,No,222
BENTLEY,Bentayga,12,19,14,2,No,617
BENTLEY,Bentayga,12,19,14,2,No,617
BENTLEY,Chiron,9,14,11,1,No,840
BENTLEY,Chiron,9,14,11,1,No,840
BENTLEY,Continental,15,23,18,4,No,494
BENTLEY,Continental,15,23,18,4,No,494
BENTLEY,Continental,15,22,18,4,No,508
BENTLEY,Continental,15,22,18,4,No,508
BENTLEY,Continental,12,18,14,2,No,636
BENTLEY,Continental,12,18,14,2,No,636
BENTLEY,Continental,12,20,15,2,No,610
BENTLEY,Continental,12,20,15,2,No,610
BENTLEY,Flying,15,22,17,3,No,514
BENTLEY,Flying,15,22,17,3,No,514
BENTLEY,Flying,12,19,15,2,No,601
BENTLEY,Flying,12,19,15,2,No,601
BENTLEY,Flying,17,22,19,7,No,251
BENTLEY,Flying,17,22,19,7,No,251
BMW,228i,24,34,28,6,No,315
BMW,228i,24,34,28,6,No,315
BMW,228i,23,33,27,5,No,330
BMW,228i,23,33,27,5,No,330
BMW,230i,26,35,29,6,No,300
BMW,230i,26,35,29,6,No,300
BMW,230i,26,35,29,6,No,300
BMW,230i,24,34,28,6,No,314
BMW,230i,24,34,28,6,No,314
BMW,230i,24,34,28,6,No,314
BMW,330e,24,32,27,9,Yes,158
BMW,330e,24,32,27,9,Yes,158
BMW,330e,22,32,26,9,Yes,172
BMW,330e,22,32,26,9,Yes,172
BMW,330i,25,34,29,6,No,308
BMW,330i,25,34,29,6,No,308
BMW,330i,24,33,27,5,No,322
BMW,330i,24,33,27,5,No,322
BMW,430i,25,34,28,6,No,313
BMW,430i,25,34,28,6,No,313
BMW,430i,23,33,27,5,No,327
BMW,430i,23,33,27,5,No,327
BMW,430i,25,34,28,6,No,313
BMW,430i,25,34,28,6,No,313
BMW,430i,23,33,27,5,No,327
BMW,430i,23,33,27,5,No,327
BMW,430i,25,34,28,6,No,313
BMW,430i,25,34,28,6,No,313
BMW,430i,23,33,27,5,No,329
BMW,430i,23,33,27,5,No,329
BMW,530e,24,29,26,8,Yes,179
BMW,530e,24,29,26,8,Yes,179
BMW,530e,22,28,25,8,Yes,203
BMW,530e,22,28,25,8,Yes,203
BMW,530i,25,33,28,6,No,313
BMW,530i,25,33,28,6,No,313
BMW,530i,23,32,26,5,No,332
BMW,530i,23,32,26,5,No,332
BMW,540i,25,32,27,5,No,322
BMW,540i,25,32,27,5,No,322
