Make,Fuel,Veh Class,Air Pollution Score,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,Comb CO2
AUDI,Gasoline/Electricity,Small SUV,7,25,27,26,9,Yes,148
AUDI,Gasoline,Small SUV,5,23,29,25,5,No,350
AUDI,Gasoline,Small SUV,5,23,29,25,5,No,350
AUDI,Gasoline,Standard SUV,5,19,25,21,4,No,414
AUDI,Gasoline,Standard SUV,5,19,25,21,4,No,414
AUDI,Gasoline,Standard SUV,5,18,22,20,4,No,453
AUDI,Gasoline,Standard SUV,5,18,22,20,4,No,453
AUDI,Gasoline,Standard SUV,5,18,23,20,4,No,439
AUDI,Gasoline,Standard SUV,5,18,23,20,4,No,439
AUDI,Gasoline,Small Car,1,14,23,17,3,No,515
AUDI,Gasoline,Small Car,1,14,23,17,3,No,515
AUDI,Gasoline,Small Car,1,13,18,15,2,No,580
AUDI,Gasoline,Small Car,1,13,18,15,2,No,580
AUDI,Gasoline,Small Car,1,14,21,17,3,No,527
AUDI,Gasoline,Small Car,1,14,21,17,3,No,527
AUDI,Gasoline,Small Car,1,14,23,17,3,No,515
AUDI,Gasoline,Small Car,1,14,23,17,3,No,515
AUDI,Gasoline,Small Car,1,13,18,15,2,No,580
AUDI,Gasoline,Small Car,1,13,18,15,2,No,580
AUDI,Gasoline,station wagon,3,14,21,17,3,No,532
AUDI,Gasoline,station wagon,3,14,21,17,3,No,532
AUDI,Gasoline,Midsize Car,3,14,21,17,3,No,532
AUDI,Gasoline,Midsize Car,3,14,21,17,3,No,532
AUDI,Gasoline,Standard SUV,3,13,20,16,3,No,562
AUDI,Gasoline,Standard SUV,3,13,20,16,3,No,562
AUDI,Electricity,Midsize Car,10,79,82,81,10,Elite,0
AUDI,Electricity,Midsize Car,10,79,82,81,10,Elite,0
AUDI,Gasoline,Small Car,5,18,26,21,4,No,429
AUDI,Gasoline,Small Car,5,18,26,21,4,No,429
AUDI,Gasoline,Midsize Car,5,18,25,21,4,No,430
AUDI,Gasoline,Midsize Car,5,18,25,21,4,No,430
AUDI,Gasoline,Small Car,5,23,32,26,5,No,334
AUDI,Gasoline,Small Car,5,23,32,26,5,No,334
AUDI,Gasoline,Small Car,5,21,30,24,5,No,364
AUDI,Gasoline,Small Car,5,21,30,24,5,No,364
AUDI,Gasoline,Small Car,5,21,28,23,5,No,375
AUDI,Gasoline,Small Car,5,21,28,23,5,No,375
AUDI,Gasoline,Small Car,5,21,30,24,5,No,364
AUDI,Gasoline,Small Car,5,21,30,24,5,No,364
AUDI,Gasoline,Midsize Car,5,21,30,24,5,No,364
AUDI,Gasoline,Midsize Car,5,21,30,24,5,No,364
AUDI,Gasoline,Midsize Car,5,19,26,22,5,No,408
